2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:41 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:42 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 657, 1385, 725)
2025-10-05 19:40:43 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:40:43 | INFO    | tracer          | [phase] Lobby
2025-10-05 19:41:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:41:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:41:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:42:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:42:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:42:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:43:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:43:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:43:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:44:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:44:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:44:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:45:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:45:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:45:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:46:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:46:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:46:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:47:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:47:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:47:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:48:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:48:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:48:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:49:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:49:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:49:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:50:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:50:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:50:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:51:18 | DEBUG   | websocket       | Sending ping
2025-10-05 19:51:38 | DEBUG   | websocket       | Sending ping
2025-10-05 19:51:58 | DEBUG   | websocket       | Sending ping
2025-10-05 19:52:18 | DEBUG   | websocket       | Sending ping
